date,time,evolution condition,replicate #,OD600(1:10 dil),coulter counter,mean size,mode,median size,colonies on 1st YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),cell/mL from plating,colonies on 1st URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),URA+ cells/mL,% URA+,transfer #,timepoint,volume transfered (mL),total URA- cells transfered,number of diploids,total colonies screened,% diploid,notes,notes,notes,wells with diploids,wells to exclude because of poor screen,wells with haploids,wells with possible haploids,generations,population
11/12/21,1:25 PM,6 day,1,0.573,1.78E+08,65.27,15.68,48.31,80,86,83000000,69,97,83000000,1,9,8,0.6,49800000,15,92,16.30434783,looked good under microscope,heterogeneous cell size,,"A3,A6,B6,C6,D4,E2,E11,F4,F12,G1,G2,G3,G11,H3,H8",,,,,
11/12/21,1:25 PM,6 day,2,0.444,1.14E+08,91.1,14.43,65.87,33,38,35500000,33,42,37500000,1.056338028,9,8,0.8,30000000,75,92,81.52173913,looked good under microscope,,,,,"A2,A4,B12,C9,C10,C11,D12,E11,F4,F8,G1,G6,G11,G12,H2,H5,H8",,,
11/12/21,1:25 PM,6 day,3,0.478,1.30E+08,67.58,15.68,52.07,54,47,50500000,49,48,48500000,0.96039604,9,8,0.9,43650000,24,92,26.08695652,looked good under microscope,some weird,,"A7,A8,B2,B3,B7,B8,B11,B12,C1,C5,C7,C9,C10,D2,D3,D4,D6,D9,E4,F9,G6,G7,H4,H5",,,,,
11/18/21,11:45 AM,6 day,1,0.493,1.70E+08,70.08,16.94,50.82,42,33,37500000,54,45,49500000,1.32,10,9,0.6,29700000,50,92,54.34782609,looked good under microscope,maybe some filamentous growth or dead cell debris,,,,"A2,A8,A9,A10,A12,B1,B4,B6,B7,B9,B10,B12,C2,C4,C7,C10,C12,D2,D5,D8,D11,E1,E2,E4,E5,E8,E9,E12,F2,F6,F8,F11,F12,G1,G5,G6,G7,G9,G10,G12,H2,H3",,,
11/18/21,11:45 AM,6 day,2,0.454,1.31E+08,90.35,15.68,65.87,22,29,25500000,25,33,29000000,1.137254902,10,9,0.7,20300000,73,92,79.34782609,looked good under microscope,maybe some filamentous growth or dead cell debris,,,,"A3,A4,A10,B4,B8,C6,C7,C8,D1,D7,D10,E3,E10,E11,G1,G3,G4,G9,H1",,,
11/18/21,11:45 AM,6 day,3,0.005,4.75E+06,51.09,14.43,33.25,34,,34000000,38,,38000000,1.117647059,8,7,0.4,15200000,,,#DIV/0!,white contamination growth on glass,restarted from T7 frozen aliquot,plated 10^-3 dilution of newly inoculated culture,,,,,,
11/20/21,3:45 PM,8 day,2,0.521,1.38E+08,82.35,15.68,72.15,39,36,37500000,41,46,43500000,1.16,11,10,0.7,30450000,10,92,10.86956522,looked good under microscope,,,"A1,A2,A3,A4,A5,A6,A12,B1,B2,D6",,,,,
11/20/21,3:45 PM,8 day,3,0.517,1.00E+08,97.62,14.43,90.97,27,25,26000000,24,32,28000000,1.076923077,11,10,1.4,39200000,17,91,18.68131868,looked good under microscope,,,"A1,B1,B2,B7,B8,C4,C10,C11,D10,D12,E1,E5,F6,F7,G9,G10,G12,H8",,,,,
11/20/21,3:45 PM,8 day,3b,0.508,9.72E+07,102.01,14.43,97.24,25,25,25000000,24,35,29500000,1.18,11,10,2,59000000,9,92,9.782608696,looked good under microscope,,,"A4,A9,C10,D2,D5,E12,F7,G1,H3",,,,,
11/22/21,2:00 PM,10 day,1,0.634,2.66E+08,47.54,16.94,38.27,38,?,38000000,0,0,0,0,11,10,0.6,0,5,32,15.625,looked good under microscope,smaller cells,clones from 10day #1 and #2 saved on the same plate,"A5,A12,B2,C1,C3",,,,,
