129,39,26,8,4,1,0,0,0
46,13,84,51,4,1,0,0,0
320,95,65,41,3,1,0,0,0
171,52,26,23,0,0,0,0,0
31,10,17,5,0,0,0,0,0
1,4,1,1,0,0,0,0,0
4,1,0,0,0,0,0,0,0
2,4,1,7,2,1,0,0,0
35,16,7,1,0,0,0,0,0
8,7,4,6,2,1,0,0,0
0,0,0,1,2,1,1,1,0
8,6,1,1,0,0,0,0,0
24,7,7,5,1,1,0,0,0
14,4,6,1,0,0,0,0,0
4,1,1,0,0,0,0,0,0
5,2,4,1,0,0,0,0,0
181,44,26,31,0,0,0,0,0
2,2,2,1,0,0,0,0,0
127,43,20,14,1,1,0,0,0
32,11,3,1,0,0,0,0,0
0,1,1,4,1,1,0,0,0
1,0,1,3,1,1,0,0,0
31,7,4,1,0,0,0,0,0
244,77,225,123,3,1,0,0,0
5,1,1,0,0,0,0,0,0
150,59,26,17,2,1,1,1,0
13,3,49,30,0,0,0,0,0
17,5,4,1,0,0,0,0,0
10,5,2,2,0,0,0,0,0
6,1,0,0,0,0,0,0,0
28,5,9,3,1,1,0,0,0
14,3,3,1,0,0,0,0,0
7,1,0,0,0,0,0,0,0
17,3,1,1,0,0,0,0,0
9,2,3,1,0,0,0,0,0
2,1,2,1,0,0,0,0,0
5,5,4,1,0,0,0,0,0
308,81,45,29,4,1,0,0,0
41,22,11,4,1,1,0,0,0
