443,264,692,1136,24313,90605,343112,368618,339348,260953,121635,36119,8692,2232,858
2832,3150,3339,3438,8052,12852,29270,38476,32212,22794,10540,4838,1808,761,804
1566,1825,1771,2185,24692,104936,457627,519993,456906,402495,216059,66408,16884,3774,886
1,1,50,29,1357,5377,24174,27334,40576,39699,26435,8467,4814,2126,886
2943,3532,3614,3860,4736,4771,7098,8482,7904,5557,2607,1240,1459,1417,940
1,1,1,1,1,1,47,28,105,409,748,759,882,1382,845
1,1,1,1,1,1,11,1,1,19,1,1,1,283,545
1,1,1,1,1,1,1,57,1,253,1,1,1,1,136
269,117,447,1194,1547,3959,3405,4291,5496,9827,7406,1488,381,1,1
1455,1707,1445,1515,1736,4003,4328,5306,4450,3548,2191,1938,915,1240,899
3433,3415,3675,4443,7167,9780,15876,20454,17573,12849,6629,2977,1263,1275,899
553,471,529,393,1263,3383,13166,14975,15194,12264,7073,2372,1274,584,927
1,1,1,1,1,1,107,257,1,1,1,1,206,1,1
63,176,122,160,221,59,11,1,1,1,1,1,1,1,1
3465,3591,4367,4705,24534,80308,318135,350495,350025,229209,118445,43502,10620,2675,927
3148,2561,3471,4152,18030,65062,257832,286229,243710,201052,102578,33436,7919,1789,913
3671,3915,4266,4210,4673,7312,12206,15619,14484,9593,4465,2838,1230,1594,1008
2658,2885,3828,4050,5557,9913,21164,28521,28681,21799,9653,4916,1416,886,899
2231,1913,2728,3088,14935,53376,217973,251128,225513,188183,98029,32645,7625,2037,913
1772,2090,2402,2709,21882,74428,304765,326765,285591,223710,110096,33700,8071,1665,818
1,1,1,1,1,1,1,1,76,1,1,1,228,1,586
1,1,1,1,1,1,1,1,1,1,1,294,370,1,190
1,1,1,1,1,1,1,1,143,1,1,1,1,1,204
2262,1619,3156,3394,3757,4254,3537,2603,1515,1247,1137,666,1383,1045,995
1,29,10,101,378,487,1235,1973,3040,4250,3245,1178,1132,1346,1036
1,1,1,1,1,1,59,1,9,1,1,1,108,1,1
585,471,763,641,4641,8125,19821,24602,21247,16262,8765,2512,1263,1187,995
110,176,213,568,16293,63732,260338,295069,375570,204016,110429,42540,12026,2516,1008
1,1,1,1,31,29,35,71,297,331,637,682,762,708,1131
1,1,1,1,126,147,419,529,681,935,693,1023,1045,1311,1090
1,1,1,1,1,1,35,14,546,1286,1165,1302,904,815,1049
15,29,1,1,94,694,3537,6894,12268,20434,19306,9258,4161,1896,1036
1,1,1,1,94,88,35,14,105,233,582,946,1023,1063,1077
648,942,967,2156,19451,77693,327800,362882,345200,282928,146545,47053,12004,2835,1158
4288,3532,5131,5026,4989,5407,7470,9840,7837,7156,4077,2419,1895,1878,1117
1,1,1,1,1,1,1,1,1,1,1,1,65,1,518
1,1,1,1,1,1,167,114,268,1,1,1,272,1,409
1,1,1,1,1,1,1,1,19,1,610,1,1,1,327
553,824,1018,1180,6378,14271,36009,48589,43445,29891,13786,5226,1797,1577,1267
1,1,1,1,1,1,1,1,2158,994,1497,1240,991,1329,1472
1,1,1,1,31,14,35,200,191,623,1275,573,1023,956,1267
