1,1,1,1,1,1,1,1,1,590,1,694,1230,1350
2319,16388,15913,27359,19412,34206,24412,29562,32585,22449,16624,6253,5170,1818
1,4097,1,1,1,3800,1,1,4250,1,1511,1389,1969,1454
1,8194,3182,7295,4159,8868,2441,1,1,1,1,1,1,1
1,1,3182,1823,2773,1266,1,1,1,1,1,1,1,1
1,1,1,1,1,2533,2441,1,1,1772,3022,1389,1477,1558
4638,1,1,1823,4159,1266,1,1,1,1,1,1,1,1
2319,1,3182,3647,1386,3800,1,1285,1416,3544,3022,2084,492,1766
1,8194,1,1,1386,2533,2441,1285,1416,2363,1511,694,1969,1506
2319,8194,1,3647,1,1,2441,6426,1416,2953,1,1,1477,1506
1,1,1,3647,1,1,1,1285,1,1,1511,1389,1477,1558
1,1,1,1,2773,1,2441,1285,1,1772,1511,694,246,1558
2319,1,6365,3647,1,2533,1,3856,9917,4135,3022,694,1,1
6957,1,1,1823,1386,1266,1,1,1416,2363,1,1389,2215,1610
1,1,3182,1,1,1,2441,1285,1416,1772,3022,2779,1477,1195
1,1,3182,1823,1,1266,2441,2570,1416,1,1,1,1,1
1,1,1,5471,1386,2533,2441,2570,1416,1772,1,1389,1969,1454
1,1,3182,1,1,1266,1,2570,1416,2953,1511,2084,2461,1246
2319,8194,6365,3647,6933,1266,7323,1285,1416,1181,1511,694,984,103
6957,8194,3182,3647,4159,3800,7323,5141,2833,2363,3022,694,1,1
4638,16388,3182,23711,16639,19003,19529,16709,15584,17132,7556,8338,984,1506
6957,4097,3182,5471,4159,3800,4882,1285,2833,2363,3022,2084,4677,1350
34786,24583,19096,25535,45758,27872,29294,29562,17001,8861,10579,8338,1477,1506
6957,12291,28644,9119,8319,3800,12206,7712,7083,5317,1,4864,3200,1714
4638,1,1,5471,4159,1266,1,2570,2833,1181,1,1389,2215,1610
4638,1,1,1,4159,2533,1,2570,2833,1772,4533,694,1,1
2319,1,6365,3647,1386,2533,2441,1285,1,2363,1511,1389,2215,1506
4638,1,1,1,2773,3800,2441,2570,1416,590,1,1,1,1
2319,1,6365,1823,6933,2533,4882,3856,5667,4135,1,694,738,1506
1,4097,1,1,1,1,4882,2570,1416,2363,1511,2779,3200,1402
1,1,1,1823,1,1,1,2570,2833,1181,1511,1389,1477,1558
9276,4097,1,1,1,1,1,1,1,1,1,1,1,1
1,8194,3182,1823,1386,1,1,1,1,1,1,1,1,1
1,1,3182,3647,2773,3800,4882,1285,2833,590,1,1,1,1
1,4097,1,1823,1386,2533,1,3856,1,3544,1511,694,1723,1454
1,1,1,1,1,1,1,1,1,590,1,2084,1230,1350
1,1,1,1,1,1,4882,1,1,1,1,1389,738,1558
2319,8194,3182,1823,1,1,1,1,1,1,1,1,1,1
4638,1,1,5471,1,3800,2441,2570,1,2363,3022,1,2708,1506
1,1,1,3647,1386,5067,2441,1,1416,590,1,3474,2215,1558
4638,1,3182,1,1386,2533,1,5141,1416,1181,1511,694,1,1
4638,8194,3182,3647,4159,1,2441,1285,2833,4135,1,2084,2461,1350
1,1,3182,3647,1386,1266,2441,1,1416,1181,4533,694,984,1610
2319,1,3182,1,1,1,1,2570,1,590,4533,694,1,1
1,4097,1,1,1386,1,1,1285,1416,590,1511,2084,1477,1454
